attacked_rows,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
0,270532992,2039.002122461,55054336,50,dual_bound,68579,1600000,10000,1076998144,20,clean,506,12240000,completed,0.9847881591774991,33.6336089327988,pbmc
0,0,1641.205352041,35323904,50,rfd,68579,1600000,10000,303542272,20,clean,506,8240008,completed,0.9246562408493412,41.785752108787165,pbmc
0,0,2450.310885575,130883584,50,sketch_mad,68579,1600000,10000,369704960,20,clean,506,14000024,completed,0.9813503016778895,27.987877131724435,pbmc
0,0,1612.100926102,42041344,50,vanilla_fd,68579,1600000,10000,303099904,20,clean,506,8080000,completed,0.9712348947915067,42.54014056416522,pbmc
6807,270532992,1828.527146063,55095296,50,dual_bound,68579,1600000,10000,1077579776,20,in_subspace,506,12240000,completed,0.9772251398922626,37.50504888464871,pbmc
6807,0,1597.821111983,35532800,50,rfd,68579,1600000,10000,303628288,20,in_subspace,506,8240008,completed,0.9260067370406534,42.92032411243396,pbmc
6807,0,2057.022988596,131014656,50,sketch_mad,68579,1600000,10000,369795072,20,in_subspace,506,14000024,completed,0.9830855483112103,33.338956530966094,pbmc
6807,0,1589.240516195,41926656,50,vanilla_fd,68579,1600000,10000,303579136,20,in_subspace,506,8080000,completed,0.9720473479723328,43.15205867277634,pbmc
6807,270532992,121.434327309,39952384,50,dual_bound,68579,1600000,10000,1978036224,20,bounded_out_of_subspace,507,12240000,completed,0.9694478472542283,564.7414657759407,pbmc
6807,0,1389.958341848,33484800,50,rfd,68579,1600000,10000,1866522624,20,bounded_out_of_subspace,507,8240008,completed,0.9241776270699265,49.33888875318503,pbmc
6807,0,313.952900313,40157184,50,sketch_mad,68579,1600000,10000,1977851904,20,bounded_out_of_subspace,507,14000024,completed,0.9836647315834153,218.43722396457926,pbmc
